City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chuy,UY,-33.6971,-53.4616,55.09,90,5,5.1,clear sky
79,Georgetown,MY,5.4112,100.3354,80.53,82,20,5.99,light rain
80,Hermanus,ZA,-34.4187,19.2345,48.79,82,1,4.88,clear sky
81,Cherskiy,RU,68.75,161.3,28.02,66,9,3.53,clear sky
82,Cabo San Lucas,MX,22.8909,-109.9124,94.6,72,0,3.71,clear sky
83,Taoudenni,ML,22.6783,-3.9836,99.93,16,25,9.48,scattered clouds
84,Victoria,HK,22.2855,114.1577,84.38,77,99,15.99,overcast clouds
85,Montelimar,FR,44.5584,4.7509,59.74,62,89,3.02,overcast clouds
86,Thompson,CA,55.7435,-97.8558,57.36,47,40,11.5,scattered clouds
87,Namibe,AO,-15.1961,12.1522,62.78,82,89,5.95,overcast clouds
88,Teguldet,RU,57.3064,88.1667,30.94,86,100,3.06,overcast clouds
89,Hervey Bay,AU,-25.2986,152.8535,72.01,84,100,11.01,overcast clouds
90,Ossora,RU,59.2353,163.0719,44.01,87,100,5.08,light rain
91,California City,US,35.1258,-117.9859,98.38,10,0,5.75,clear sky
92,General Roca,AR,-39.0333,-67.5833,70.63,19,0,2.73,clear sky
93,Sibolga,ID,1.7427,98.7792,75.33,87,100,1.74,overcast clouds
94,Turangi,NZ,-39.0,175.9333,52.36,59,100,3.96,moderate rain
95,Bousso,TD,10.4795,16.7117,72.7,95,96,3.98,overcast clouds
96,Clyde River,CA,70.4692,-68.5914,34.03,80,20,5.75,few clouds
97,Katsuura,JP,35.1333,140.3,70.75,75,79,19.08,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,100,100,25.32,light snow
99,Imeni Poliny Osipenko,RU,52.4201,136.4853,43.59,76,93,0.78,overcast clouds
100,Nemuro,JP,43.3236,145.575,62.11,78,100,3.76,overcast clouds
101,Berlevag,NO,70.8578,29.0864,48.15,81,100,10.36,overcast clouds
102,Santa Maria,BR,-29.6842,-53.8069,72.7,40,0,6.91,clear sky
103,Port Hedland,AU,-20.3167,118.5667,62.65,51,34,3.44,scattered clouds
104,Avarua,CK,-21.2078,-159.775,80.65,83,20,6.91,few clouds
105,Fortuna,US,40.5982,-124.1573,68.94,69,78,3.0,broken clouds
106,Hammond,US,41.5834,-87.5,61.14,52,100,9.22,overcast clouds
107,Santiago,CL,-33.4569,-70.6483,72.84,41,0,12.66,clear sky
108,Sungai Besar,MY,3.6746,100.9867,75.92,89,99,4.0,overcast clouds
109,Seoul,KR,37.5683,126.9778,62.04,97,0,3.44,clear sky
110,Palauig,PH,15.435,119.9045,78.73,84,100,7.49,overcast clouds
111,Vrangel,RU,42.7297,133.0839,59.74,86,0,1.79,clear sky
112,Nazare,BR,-13.035,-39.0144,70.92,90,1,2.86,clear sky
113,Tasiilaq,GL,65.6145,-37.6368,37.56,98,100,1.92,overcast clouds
114,Howard Springs,AU,-12.497,131.047,78.71,93,49,3.42,scattered clouds
115,Lebu,CL,-37.6167,-73.65,53.74,73,0,17.13,clear sky
116,Saint-Leu,RE,-21.15,55.2833,68.83,69,18,1.68,few clouds
117,Lasa,IT,46.6166,10.7002,49.08,78,19,1.74,few clouds
118,Newport,GB,51.5877,-2.9984,53.82,82,100,8.86,overcast clouds
119,Saint George,US,37.1041,-113.5841,93.79,22,0,14.97,clear sky
120,Marawi,PH,7.9986,124.2928,69.8,89,100,3.02,overcast clouds
121,Cayenne,GF,4.9333,-52.3333,84.24,70,0,9.22,clear sky
122,Butaritari,KI,3.0707,172.7902,82.53,73,52,17.92,broken clouds
123,Itarema,BR,-2.9248,-39.9167,78.3,81,0,16.35,clear sky
124,Gavle,SE,60.6745,17.1417,51.35,96,100,1.01,overcast clouds
125,Emba,KZ,48.8264,58.1442,49.8,57,100,1.5,overcast clouds
126,Portland,US,45.5234,-122.6762,84.87,52,20,8.01,few clouds
127,Honningsvag,NO,70.9821,25.9704,46.15,81,59,5.75,broken clouds
128,Tateyama,JP,34.9833,139.8667,70.11,77,42,18.81,scattered clouds
129,Iracoubo,GF,5.4802,-53.2011,79.93,80,47,12.62,scattered clouds
130,Strezhevoy,RU,60.7333,77.5889,24.57,87,50,6.29,scattered clouds
131,Torbay,CA,47.6666,-52.7314,70.57,87,75,14.97,broken clouds
132,Chicama,PE,-7.8447,-79.1469,61.34,69,41,9.37,scattered clouds
133,Sorong,ID,-0.8833,131.25,78.19,86,100,6.64,overcast clouds
134,Sirohi,IN,24.8833,72.8667,76.55,71,53,3.0,broken clouds
135,Ler,SS,8.3018,30.1418,74.5,79,7,2.48,clear sky
136,Sterling,US,39.0062,-77.4286,70.11,43,75,9.22,broken clouds
137,Sunland Park,US,31.7965,-106.58,86.45,28,0,12.66,clear sky
138,Talara,PE,-4.5772,-81.2719,74.16,56,0,14.97,clear sky
139,Kazachinskoye,RU,57.6953,93.2761,33.51,99,100,4.38,snow
140,Norman Wells,CA,65.282,-126.8329,46.44,66,20,11.5,few clouds
141,Ostrovnoy,RU,68.0531,39.5131,38.32,83,100,8.34,overcast clouds
142,Narsaq,GL,60.9167,-46.05,46.62,93,100,1.63,overcast clouds
143,Raga,SS,8.4596,25.678,69.03,96,100,3.69,light rain
144,Yerbogachen,RU,61.2767,108.0108,24.6,99,78,1.79,broken clouds
145,Castro,BR,-24.7911,-50.0119,59.49,98,100,1.05,overcast clouds
146,Mar Del Plata,AR,-38.0023,-57.5575,53.62,59,0,16.11,clear sky
147,Oktyabrskiy,RU,54.4815,53.471,38.71,68,100,5.06,overcast clouds
148,Morondava,MG,-20.2833,44.2833,76.28,77,0,5.03,clear sky
149,Bayan,CN,46.0833,127.4,58.3,75,33,8.84,scattered clouds
150,Buenos Aires,AR,-34.6132,-58.3772,71.28,56,0,12.66,clear sky
151,Souillac,MU,-20.5167,57.5167,71.98,64,75,11.5,broken clouds
152,Kieta,PG,-6.2167,155.6333,81.28,78,77,5.17,light rain
153,Robertsport,LR,6.7533,-11.3686,77.97,86,61,8.68,broken clouds
154,Vendome,FR,47.8,1.0667,61.09,97,100,9.35,overcast clouds
155,Mayna,RU,54.1135,47.6231,46.83,83,100,11.5,overcast clouds
156,Sinalunga,IT,43.2152,11.7495,59.22,82,77,5.21,broken clouds
157,Celestun,MX,20.8667,-90.4,82.92,77,6,13.15,clear sky
158,Nanortalik,GL,60.1432,-45.2371,43.43,99,97,6.4,overcast clouds
159,Anchorage,US,61.2181,-149.9003,54.09,62,0,8.05,clear sky
160,Ponta Delgada,PT,37.7333,-25.6667,69.49,77,20,5.75,few clouds
161,Bethanien,NA,-26.502,17.1583,66.24,23,80,5.26,broken clouds
162,Westport,US,41.1415,-73.3579,70.83,60,20,9.22,few clouds
163,Am Timan,TD,11.0297,20.2827,67.71,96,100,8.39,light rain
164,Nikolskoye,RU,59.7035,30.7861,46.29,97,10,4.29,clear sky
165,Malakal,SS,9.5334,31.6605,73.9,80,21,2.55,few clouds
166,Kirovskiy,RU,45.0917,133.5136,54.19,89,0,5.39,clear sky
167,Vostok,RU,46.4856,135.8833,47.82,71,0,4.76,clear sky
168,Esperance,AU,-33.8667,121.9,49.89,81,0,9.28,clear sky
169,Estevan,CA,49.1334,-102.9842,68.34,28,42,14.67,scattered clouds
170,Longyearbyen,SJ,78.2186,15.6401,35.44,93,75,0.0,broken clouds
171,Berbera,SO,10.4396,45.0143,90.18,57,37,6.08,scattered clouds
172,Mahebourg,MU,-20.4081,57.7,71.89,64,75,11.5,broken clouds
173,Sindor,RU,62.8629,51.8905,27.28,75,2,4.21,clear sky
174,Upernavik,GL,72.7868,-56.1549,36.28,99,100,12.84,light rain
175,Barra Dos Coqueiros,BR,-10.9089,-37.0386,78.82,73,20,6.91,few clouds
