City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Cururupu,BR,76.3,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
268,Caravelas,BR,73.99,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
274,Sao Filipe,CV,78.28,scattered clouds,14.8961,-24.4956,Hotel Xaguate
276,Juxtlahuaca,MX,79.0,broken clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
277,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
281,Sompeta,IN,79.18,broken clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
282,Douglas,US,79.38,haze,41.3,-96.167,Hilton Garden Inn Omaha West
283,Bengkulu,ID,74.86,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
285,Nouadhibou,MR,78.78,broken clouds,20.931,-17.0347,El Medina
289,Sao Joao Evangelista,BR,71.55,overcast clouds,-18.5478,-42.7633,Hotel Maranhão
291,Chavakkad,IN,77.72,broken clouds,10.5333,76.05,Rajah Island
292,Ponta Do Sol,PT,70.43,overcast clouds,32.6667,-17.1,Hotel do Campo
300,Bahraich,IN,74.77,clear sky,27.5833,81.6,Narain Guest House
305,Jaral Del Progreso,MX,77.07,overcast clouds,20.3667,-101.0667,Hotel Casa Vieja
308,Yanam,IN,76.89,broken clouds,16.7333,82.2167,The Regency Hotel
310,Birao,CF,71.67,overcast clouds,10.2849,22.7882,
311,San Quintin,MX,77.38,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
315,Noumea,NC,78.78,clear sky,-22.2763,166.4572,Hôtel Le Lagon
318,Poum,NC,77.07,few clouds,-20.2333,164.0167,
321,Boende,CD,70.84,overcast clouds,-0.2167,20.8667,
323,Faanui,PF,78.33,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
327,Praia Da Vitoria,PT,70.05,few clouds,38.7333,-27.0667,Hotel Branco I
328,Arrecife,ES,71.58,few clouds,28.963,-13.5477,Hotel Lancelot
330,Denpasar,ID,76.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
334,Zlitan,LY,79.39,overcast clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
337,Lhokseumawe,ID,76.57,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
340,Koumac,NC,79.59,clear sky,-20.5667,164.2833,Le Monitel
346,Harper,LR,75.49,light rain,4.375,-7.7169,Screensaver
354,Manay,PH,78.19,overcast clouds,7.215,126.5397,Caryl and Karl Inn
